999, 191892
1199, 187120
1399, 160904
1599, 176871
1799, 213864
1999, 233013
2199, 270278
2399, 317391
2599, 456006
2799, 708697
2999, 355500
3199, 409313
3399, 449314
3599, 461012
3799, 457344
3999, 250107
4199, 179162
4399, 201938
4599, 278428
4799, 299699
4999, 248666
5199, 179899
5399, 160839
5599, 180199
5799, 254564
5999, 183414
6199, 175350
6399, 242146
6599, 227113
6799, 181652
6999, 220261
7199, 201292
7399, 266427
7599, 336503
7799, 300631
7999, 323089
8199, 261844
8399, 337711
8599, 334874
8799, 291595
8999, 350848
9199, 360301
9399, 353296
9599, 327278
9799, 399788
9999, 398992
10199, 450667
10399, 381590
10599, 527648
10799, 585946
10999, 553063
11199, 464686
11399, 433712
11599, 503629
11799, 575177
11999, 551050
12199, 665578
12399, 514515
12599, 606816
12799, 673968
12999, 928309
13199, 606227
13399, 648500
13599, 763072
13799, 731427
13999, 680873
14199, 723759
14399, 736337
14599, 705384
14799, 678365
14999, 787241
15199, 823890
15399, 876617
15599, 811556
15799, 849366
15999, 798649
16199, 883715
16399, 883478
16599, 1032531
16799, 970990
16999, 941789
17199, 943250
17399, 956052
17599, 998703
17799, 1035193
17999, 953668
18199, 973970
18399, 1027243
18599, 991786
18799, 982611
18999, 1034171
19199, 930305
19399, 1034366
19599, 1066572
19799, 1162894
19999, 1156824
20199, 1159341
20399, 1156463
